epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5783,0.95763,0.9254,1.13605,0.74126,0.72041,0.78564,0.61569,0.86185,0.71843,1.02261,8.33e-06,8.33e-06,8.33e-06
2,140.428,0.96778,0.85657,1.14355,0.76432,0.74069,0.79885,0.62785,0.84213,0.6877,1.01353,1.74966e-05,1.74966e-05,1.74966e-05
3,208.712,0.99273,0.8772,1.16243,0.75388,0.75671,0.80406,0.6367,0.82957,0.67061,1.00649,2.62861e-05,2.62861e-05,2.62861e-05
4,278.276,0.93389,0.78077,1.14972,0.78502,0.76021,0.82554,0.65564,0.81654,0.6489,0.9969,3.46987e-05,3.46987e-05,3.46987e-05
5,348.403,0.91925,0.77098,1.12387,0.82871,0.76514,0.84619,0.67281,0.80319,0.62206,0.9893,4.27343e-05,4.27343e-05,4.27343e-05
6,418.375,0.86147,0.75468,1.08135,0.85288,0.76744,0.86678,0.69056,0.79345,0.60212,0.98071,5.03929e-05,5.03929e-05,5.03929e-05
7,488.459,0.93162,0.78221,1.11651,0.86643,0.77407,0.87186,0.69737,0.7888,0.57854,0.97734,5.76745e-05,5.76745e-05,5.76745e-05
8,558.77,0.85629,0.71905,1.08093,0.87457,0.77971,0.88062,0.70858,0.77866,0.55169,0.97364,6.45792e-05,6.45792e-05,6.45792e-05
9,628.975,0.8312,0.69402,1.08207,0.82705,0.81973,0.88465,0.71603,0.77133,0.54409,0.97032,7.11068e-05,7.11068e-05,7.11068e-05
10,699.451,0.84223,0.64262,1.05077,0.8306,0.83072,0.88768,0.7202,0.7657,0.53049,0.96672,7.72574e-05,7.72574e-05,7.72574e-05
11,769.919,0.79889,0.65783,1.03755,0.81233,0.85024,0.89216,0.73345,0.75489,0.51,0.95842,8.30311e-05,8.30311e-05,8.30311e-05
12,841.984,0.90562,0.70214,1.07093,0.83188,0.8477,0.89579,0.73722,0.7506,0.50184,0.95412,8.84277e-05,8.84277e-05,8.84277e-05
13,913.028,0.83288,0.66742,1.06455,0.84914,0.84413,0.90176,0.74699,0.73852,0.49219,0.94612,9.07256e-05,9.07256e-05,9.07256e-05
14,984.234,0.82181,0.66224,1.04025,0.84842,0.86299,0.90787,0.75436,0.72969,0.47865,0.94044,8.83694e-05,8.83694e-05,8.83694e-05
